1724.00	-1837.00	53.00	-55.00	0.10	-0.11	2.08	-2.16	1724.00	-1837.00	-0.12	1.06

1775.00	-1890.00	51.00	-53.00	0.10	-0.10	2.00	-2.08	1775.00	-1890.00	-0.12	1.02

1829.00	-1943.00	54.00	-53.00	0.11	-0.10	2.12	-2.08	1829.00	-1943.00	0.06	1.05

1885.00	-1995.00	56.00	-52.00	0.11	-0.10	2.20	-2.04	1885.00	-1995.00	0.24	1.06

1938.00	-2045.00	53.00	-50.00	0.10	-0.10	2.08	-1.96	1938.00	-2045.00	0.18	1.01

1986.00	-2096.00	48.00	-51.00	0.09	-0.10	1.88	-2.00	1986.00	-2096.00	-0.18	0.97

2038.00	-2148.00	52.00	-52.00	0.10	-0.10	2.04	-2.04	2038.00	-2148.00	0.00	1.02

2091.00	-2202.00	53.00	-54.00	0.10	-0.11	2.08	-2.12	2091.00	-2202.00	-0.06	1.05

2147.00	-2256.00	56.00	-54.00	0.11	-0.11	2.20	-2.12	2147.00	-2256.00	0.12	1.08

2200.00	-2308.00	53.00	-52.00	0.10	-0.10	2.08	-2.04	2200.00	-2308.00	0.06	1.03

2253.00	-2360.00	53.00	-52.00	0.10	-0.10	2.08	-2.04	2253.00	-2360.00	0.06	1.03

2304.00	-2411.00	51.00	-51.00	0.10	-0.10	2.00	-2.00	2304.00	-2411.00	0.00	1.00

2356.00	-2463.00	52.00	-52.00	0.10	-0.10	2.04	-2.04	2356.00	-2463.00	0.00	1.02

2407.00	-2513.00	51.00	-50.00	0.10	-0.10	2.00	-1.96	2407.00	-2513.00	0.06	0.99

